"code","content","label"
"16","Army Secretary Quits","Defense"
"19","U.S. Hunts 5 Men Seen on Tape, Saying They May Plan Attack","International Affairs and Foreign Aid"
"16","Militias Battle for Iraqi City As Shiite Rivalry Escalates","Defense"
"20","THE PRESIDENT'S ACQUITTAL: THE WHITE HOUSE;","Government Operations"
"16","Reno and Freeh, in Hearing, Defend Case Against Scientist","Defense"
"16","White House Says the U.S. Is Not a Loner, Just Choosy","Defense"
"16","THE STRUGGLE FOR IRAQ: THE WHITE HOUSE; 
BUSH SAYS HE SEES NO NEED IN IRAQ FOR ADDING G.I.'S","Defense"
"3","Study Finds Secondhand Smoke Doubles Risk of Heart Disease","Health"
"19","Doubters Fault Theory Finding Earlier Puberty","International Affairs and Foreign Aid"
"16","GENERAL WEIGHS 2ND TROOP SHIFT TO CALM BAGHDAD","Defense"
"16","Sharing Consolation After the Shock in Saudi Arabia","Defense"
"20","POLITICS: THE OVERVIEW; CLINTON AND DOLE SHARPEN MESSAGES IN RACE'S FINAL LEG","Government Operations"
"19","Iraqi Rejects Top Job; Cleric's Aide Seized","International Affairs and Foreign Aid"
"12","In N.F.L.'s Search for Winners, No Old Coach Is Left Unturned","Law, Crime, and Family Issues"
"20","Cheney's Role In Acquisition Under Scrutiny","Government Operations"
"29","Redesigned Yankees to Face An October of Uncertainties","Sports and Recreation"
"19","HIGH QAEDA AIDE RETRACTED CLAIM OF LINK WITH IRAQ","International Affairs and Foreign Aid"
"20","In Texas Fight, One Democrat Finally Blinks","Government Operations"
"20","CLINTON PRESSING JUDGE TO RELENT","Government Operations"
"19","Suspicions Large and Small Bedevil Jiang's Visit to U.S.","International Affairs and Foreign Aid"
"16","From an Egyptian Oasis, a Titan of a Dinosaur","Defense"
"20","TESTING OF A PRESIDENT: THE OVERVIEW;","Government Operations"
"20","THE SECOND TERM: THE NOMINEE;","Government Operations"
"19","Now in Attack Mode, a Rightist Surges in Mexico","International Affairs and Foreign Aid"
"19","MADRID JOURNAL; Franco's Foes Return, With Wheelchairs and Memories","International Affairs and Foreign Aid"
"19","In the Hundreds of Thousands, Kosovo Homeless Feel Forsaken","International Affairs and Foreign Aid"
"15","A Recovery, And a Pause","Banking, Finance, and Domestic Commerce"
"19","RUSSIA AND I.M.F. AGREE ON A LOAN FOR $10.2 BILLION","International Affairs and Foreign Aid"
"19","SARS in the Sports World","International Affairs and Foreign Aid"
"19","As Calls for an Iraq Pullout Rise, 2 Political Calendars Loom Large","International Affairs and Foreign Aid"
"16","Grandma Helps To Fill the Void Left by Sept. 11","Defense"
"29","Top Seeding for Giants","Sports and Recreation"
"19","Arafat Nominates a Replacement For the Palestinian Prime Minister","International Affairs and Foreign Aid"
"12","Suspect in Holdups Is Enigmatic Figure, Even to Her Mother","Law, Crime, and Family Issues"
"16","AFTER THE WAR: C.I.A. UPROAR; 
New Details Emerge On Uranium Claim And Bush's Speech","Defense"
"16","THREATS AND RESPONSES: NEWS ANALYSIS; 
Major Catch, Critical Time","Defense"
"19","U.S. SHIFTS FOCUS IN IRAQ TO AIDING NEW GOVERNMENT","International Affairs and Foreign Aid"
"15","Brazil Pays to Shield Currency, And the Poor See the True Cost","Banking, Finance, and Domestic Commerce"
"16","In the Last Lap, Joking, Jockeying and Hiding the Sweat","Defense"
"19","Powell Seeks Distance","International Affairs and Foreign Aid"
