id:text	text:text
0-1382131328	#ReelworthyPictures In Case You Missed it: First Round of Accepted Workshops for SXSW Interactive 2014 | SXSW 2014 http://t.co/ZrscFY0FgH
1-1382131337	RT @sxsw: .@doctorpcircus &amp; @methodman recently teamed up for a new song. Read about it and watch the video here: http://t.co/9bzgbTVT5k #S…
2-1382131353	RT @Aye_Rells: SXSW was too nice! @MixedByAli http://t.co/hFdXftxk6I
3-1382131511	RT @DigitalLA: Our 3 events this wknd: 25 models at today's #StartupFashionShow #Oktoberfest #Kaskade. Silicon Beach: LA @ #SXSW http://t.c…
4-1382131601	@TheLoneBellow Come back for @sxsw #please 😅😅
5-1382131667	RT @EcuadronGanqz: Lena Dunham Will Keynote SXSW in 2014:  Lena Dunham, the creator and star of HBO's Girls, will be a keynote sp... http:/…
6-1382131679	i wanna go to sxsw
7-1382131701	Just landed in #Dallas - gettin a little #texas warm-up before comin back for #SXSW In March. Beer time
8-1382131725	Be prepared for busloads full of "Girls" fans MT @mashable Lena Dunham Will Keynote #SXSW in 2014 http://t.co/g9v8z1zJlk
9-1382131740	I remember dude came to SXSW in 2011 w/ a TEAM!!! Like 30 muhfuckas in Jon Conner shirts mobbin down 6th street handing out his cd’s
10-1382131763	RT @douglouiselle: Just landed in #Dallas - gettin a little #texas warm-up before comin back for #SXSW In March. Beer time
11-1382131815	Lena Dunham Will Keynote SXSW Next Year Read more: http://t.co/ZU6Hhf3GIB #HighTech #mashable
12-1382131947	Lena Dunham Will Keynote SXSW in 2014 - Lena Dunham, the creator and star of HBO'sGirls, will be a keynote speaker... http://t.co/BMzItz8GQr
13-1382131947	Lena Dunham Will Keynote SXSW in 2014 - Lena Dunham, the creator and star of HBO's&amp;#160;Girls, will be a keynote s... http://t.co/Cifedytulp
14-1382132090	@TJMcCue I tweeted about @PocketSq's - @perryhewitt said that I should connect with @badboyboyce - magic happened at @SXSW over #BFastTacos
15-1382132175	MUSIC NEWS: Today Is Last Day For SXSW 2014 Pass Discount, Accelerator Startup Showcase Deadline Nears http://t.co/i48obeB5ZN
16-1382132216	@stevekrohn Thank you very much for the +Kred in SXSW VIP community influence! #Kred
17-1382132221	RT @stevekrohn: I gave @dmu8750 +Kred in SXSW VIP community influence http://t.co/vIb7akLsx9
18-1382132233	@Antiserum Hey you gotta get me on the list!, This pic was from SXSW at Barcelona, and obvious I have to get a pic! http://t.co/UxSTvdZgDA
19-1382132266	I'm extremely proud that @jaffejuice and I are going to do a #zeropaidmedia book reading at @sxsw 2014, thanks to you voting for us. Thanks!
20-1382132311	@stevekrohn Thank you very much for the +Kred in SXSW #Journalists #community #influence ! #Kred
21-1382132378	@andyellwood @PocketSq @perryhewitt @badboyboyce @sxsw awesome!
22-1382132490	@TJMcCue @PocketSq @perryhewitt @badboyboyce @sxsw Storytelling in less than a 140 characters FTW
23-1382132502	Who's throwing in with me on a condo, house or something for the weeks of SXSW??? Lets do it now and best the rush and high prices
24-1382132570	SXSW Announces First Performers for 2014 Festival http://t.co/CHTMPlOYND
25-1382132573	The South by Southwest Music Festival has released its first list of artists for the 2014 festival, notably the... http://t.co/N782Aw8qnt
26-1382132573	Lena Dunham, the creator and star of HBO's Girls , will be a keynote speaker at the South by Southwest conference... http://t.co/8MODNBPboB
27-1382132575	SXSW Announces First Performers for 2014 Festival: The South by Southwest Music Festival has released its first... http://t.co/XCN6DFNNs7
28-1382132575	Lena Dunham Will Keynote SXSW in 2014: Lena Dunham, the creator and star of HBO's Girls , will be a keynote... http://t.co/dmUqjYeFVT
29-1382132579	@andyellwood @TJMcCue @perryhewitt @badboyboyce @sxsw The power of the 'square. http://t.co/yCTlxEfFwR
30-1382132623	Thanks to @quietcompanytx for the interview today at #cmj #CMJ2013 #rockon See you in Austin! #SXSW
31-1382132727	In Case You Missed it: First Round of Accepted Workshops for SXSW Interactive 2014 http://t.co/nXj6jW7PVr #SXSW
32-1382132769	RT @lauramfeeney: It's official! @SXSWEDU panel on #creativity coming in March! http://t.co/R11VkxbACo @AdobeEdu
33-1382132786	RT @MobbinMichelle: SXSW '14 is gonna be one for the books.
34-1382132877	Lena Dunham Will Keynote SXSW in 2014  Lena Dunham, the creator and star of &amp;#160;Girls, will be a keynote speak... http://t.co/9y0PK1qb7B
35-1382132884	Catlin rocking the fuck out of his fashion punishment. Cc sxsw http://t.co/xgnKtHsRGq
36-1382132899	What's going on? Lena Dunham Will Keynote SXSW Next Year - Mashable http://t.co/va4AFiAAD6
37-1382132972	I waited at least 3 or 4 hours during SXSW for shows
38-1382133074	SxSW is requiring jsdom and sizzle.
39-1382133098	Humans, day 1 of SXSW? is going to be an interesting onslaught of music...hail Gzoroth!!!! @SouthBySoWhat... http://t.co/KCuulHoQbm
40-1382133110	Lena Dunham Will Keynote SXSW Next Year http://t.co/zZgMS4sM9b #socialmedia #SMS
41-1382133117	RT @SXSWNews: In Case You Missed it: First Round of Accepted Workshops for SXSW Interactive 2014 http://t.co/nXj6jW7PVr #SXSW
42-1382133143	Latest News: Lena Dunham Will Keynote SXSW Next Year http://t.co/OBPrMTfBYV
43-1382133237	.@Georgetown's heading to #SXSWedu this year! http://t.co/bNlO9YNGro
44-1382133256	@PocketSq @andyellwood @TJMcCue @perryhewitt @sxsw practicing what we preach :) So grateful for @twitter connecting! http://t.co/1rJCZsCkXp
45-1382133327	Lena Dunham Will Keynote SXSW in 2014 http://t.co/xnC72hzTpP Mayhaps I should attend...
46-1382133352	RT @MarkJohnsonFAIA: #SXSW #SoMe Highlights is out! http://t.co/THhudTXOpn ▸ Top stories today via @1007WRDU @chloedancer @mikeastahl
47-1382133376	So I pretty much need to go to SX http://t.co/7ftMkSZNoq
48-1382133406	Today is 2nd deadline for discounted SXSW Badges. Save $ on walk up price.  http://t.co/VnOpWsFHu4 #ExperienceSXSWFilm
49-1382133481	@Qotsa hey dudes come back to Austin for SXSW &amp; infiltrate the walls of Stubbs because that would be epic.
50-1382133531	Lena Dunham Will Keynote SXSW Next Year: Lena... http://t.co/hMZlnvufA9 #PeteCashmore #SouthBySouthwest #Entertainment #DigitalnaSigurnost
51-1382133644	and play at SXSW but that's about it
52-1382133652	Lena Dunham Will Keynote SXSW in 2014: Lena Dunham, the creator and star of HBO's Girls, will be a keynote... http://t.co/hbDZ06kmvH
53-1382133653	Lena Dunham, the creator and star of HBO's Girls, will be a keynote speaker at the South by Southwest conference... http://t.co/YH62Pg5xo1
54-1382133666	I miss having to make the decision to hang out with Brent at @Dogandduckpub or meet the rest of the @sxsw crew at @TinyBarTx every Friday :(
55-1382133899	The 2014 #SXSW Artist Announcement - Round 1 including @loslonelyboys and "Pumpin' Blood" favorites @nononoofficial http://t.co/YjPeHKWxAw
56-1382133931	RT @indiebeatmusic: The 2014 #SXSW Artist Announcement - Round 1 including @loslonelyboys and "Pumpin' Blood" favorites @nononoofficial htt…
57-1382133984	Stuck in my head all after noon  Divine Fits - "Shivers" (live at Public Radio Rocks SXSW Day Stage): http://t.co/JRSqwc8Dn0 via @youtube
58-1382134067	@Texas_Jon so they plan s. lamar being open for 2014. i'm guessing not sxsw though @drafthouse
59-1382134093	@_alfonsitoo SXSW spring semester though... You're coming!
60-1382134212	SXSW was crunk this one should be epic @ducidni http://t.co/LdobuQHywt
61-1382134249	@bowtieshark @drafthouse Don't think for SXSW.  Scheduled to reopen Spring 2014! #whoopee
62-1382134376	Yeah we are! Who's comin' to Austin? #bbq + #edtech RT @InTheCapital: @Georgetown's heading to #SXSWedu this year! http://t.co/w5dkEjcSWr
63-1382134483	@The_National at #ACLFest was the best punk show I've seen in Austin since @Japanther at #SXSW 2012 at  @headhuntersclub.
64-1382134662	Today Is Last Day For SXSW 2014 Pass Discount, Accelerator Startup Showcase Deadline Nears: Today, Friday Octo... http://t.co/CPlMJCP0Kr
65-1382134772	Im Already Ready 4 Next Year!!! Checkout Our Dubisode 7 4rm This past yrs #SXSW SXSW Dubisode 7 http://t.co/Oisl6IBtMO via @youtube
66-1382134910	#SubrHomecoming #SaluteTheDjsAwardsShow #SXSW
67-1382134925	Six Reasons Why You Should Play #SXSW 2014 http://t.co/gptcQuUpq5
68-1382134947	#flashbackfriday Paramore performing Still Into You at SXSW http://t.co/2m3bDv4VFX
69-1382134954	“@sxsw: @adamfmusic &amp; @doctorpcircus &amp; @methodman  teamed up for a new song. Read &amp; watch the video here: http://t.co/QupHZ2OURN #SXSWfm”
70-1382135072	@_scoutLA stoked to see yall at sxsw
71-1382135156	RT @matthewdawes: Increase the peace #sxsw #macklemore http://t.co/eZfDKCs5bX
72-1382135332	RT @adamfmusic: “@sxsw: @adamfmusic &amp; @doctorpcircus &amp; @methodman  teamed up for a new song. Read &amp; watch the video here: http://t.co/QupHZ…
73-1382135376	sxsw next year
74-1382135433	It's Not Too Late To Enter Your Music Tech Startup In SXSW Accelerator 2014 http://t.co/whRGlYxmIH
75-1382135444	RT @chriswithadot: sxsw next year
76-1382135449	2014 SXSW Accelerator Application Deadline; Friday, November 8  | SXSW 2014 http://t.co/5SS8vQGg7x
77-1382135633	Perfect. "@mashable: Lena Dunham Will Keynote SXSW in 2014 http://t.co/wptTHm4nWd"
78-1382135662	SXSW EMAILED ME BACK THEY WANT TO HAVE AN INTERVIEW I CANT HANDLE THIS
79-1382135717	LONDON AND SXSW PERFORMANCES NEXT YEAR
80-1382135778	@DrConversano yeah @SubAntix is the man! We linked with him in Austin at @SXSW - Check the video at http://t.co/xHdNdfdEhP #FF
81-1382135787	@coryjreamz I'm tryna go sxsw next year too
82-1382135802	RT @ThinkinCircles: 2014 SXSW Accelerator Application Deadline; Friday, November 8  | SXSW 2014 http://t.co/5SS8vQGg7x
83-1382135841	UGH to this: http://t.co/UeUmAI1TyW
84-1382135954	@londongrammar really excited to see that y'all will be at @sxsw !! See you then
85-1382136050	Another local band doing cool things!  Vote for The Mud Flappers to get sent to SXSW for a VH1 showcase! #swamprock http://t.co/I8GefQF6Wm
86-1382136072	Looking to Get Creative? Skip SxSW. http://t.co/eXx0ekEmPc  #startups
87-1382136160	@davespak sadly no. Will be at sxsw though. Will you be in Texas this year?
88-1382136409	Beatles film 'Good Ol' Freda' debuts in UK this weekend http://t.co/xvHlWIYbdp
89-1382136411	In Case You Missed it: First Round of Accepted Workshops for SXSW Interactive 2014 http://t.co/zVMyfv2NS1
90-1382136411	And it's not too late to showcase your music tech startup, product or new service at SXSW Accelerator 2014 . http://t.co/rhqDM9QB7o
91-1382136412	Today Is Last Day For SXSW 2014 Pass Discount, Accelerator Startup Showcase Deadline Nears: And it's not too late... http://t.co/os5PqRaj3d
92-1382136412	Interactive Sessions On Monday, October 14th, we announced the first round of accepted SXSW Interactive... http://t.co/b4LOxKGQOE
93-1382136412	In Case You Missed it: First Round of Accepted Workshops for SXSW Interactive 2014: Interactive Sessions On... http://t.co/QZxjXtO7SU
94-1382136547	What's going on? SXSW 2014 Bands Announced - Crave Online http://t.co/lu5kmjwUZd
95-1382136714	@SXSW Announces Initial 2014 Music Lineup: http://t.co/iV0JqK0IXM #Austin #ATX #SXSW #music #festival #imissthefood
96-1382136737	@stupopp fuckin' a!  I caught it at SXSW and then a couple times when it hit it's short theatrical run. I will pimp this doc forever.
97-1382136807	It's official. I'm going to my very 1st #sxsw.  And even tho it seems to be as complicated a process as #ComicCon I'm thrilled. (Loved CC!)
98-1382136859	RT @CathyReinking: It's official. I'm going to my very 1st #sxsw.  And even tho it seems to be as complicated a process as #ComicCon I'm th…
99-1382136860	sxsw set 1 of 4 “pops the fuck off” at 9 tonight—1107 Irving ave come get ittt
100-1382137519	I bribed my way into a Krit show at sxsw.
101-1382137571	I just really want to go to San Diego Comic-Con, SXSW and D23 Expo.
102-1382137641	No lie this is what my back pack looked like at #SXSW this year. joe0sosick http://t.co/8gTGWN6BlC
103-1382137713	#sxsw hotel confirmed. Hoping @poonix can join me this year. No shuttle for us!
104-1382137752	My SXSW 2014 plans are going according go plan. I will be there next year.
105-1382137812	My manger just told me since I can't go to SXSW that he's gonna just take pictures and video it and send it to me.
106-1382137896	@gorociao trying to wrap it up for sxsw deadline. I'll show it to you when I get music!
107-1382137908	@bryanlanning I love @ToriKelly!!!! I was introduced to her music earlier this year and went to her shows @sxsw. Met her also :-)
108-1382138040	@TrvpLxrrd are you going?! I'm trying to go to SXSW which has a similar lineup
