negative	while hoffman's performance is great , the subject matter goes nowhere . 
positive	a bravura exercise in emptiness . 
positive	about as big a crowdpleaser as they possibly come . 
positive	van wilder has a built-in audience , but only among those who are drying out from spring break and are still unconcerned about what they ingest . 
positive	scorsese at his best makes gangster films that are equally lovely but also relentlessly brutal and brutally intelligent ; perdition , meanwhile , reads more like driving miss daisy than goodfellas . 
positive	a lean , deftly shot , well-acted , weirdly retro thriller that recalls a raft of '60s and '70s european-set spy pictures . 
negative	it treats women like idiots . 
positive	the level of maturity displayed by this 33-year-old first-time feature director is astonishing , considering her inexperience and her subject matter . 
positive	a tour de force of modern cinema . 
positive	apparently reassembled from the cutting-room floor of any given daytime soap . 
positive	an already thin story boils down to surviving invaders seeking an existent anti-virus . if only there were one for this kind of movie . 
negative	 . . . an hour-and-a-half of inoffensive , unmemorable filler . 
positive	one of those rare , exhilarating cinematic delights that gets even better in hindsight , as you mull over its every nuance in your mind . 
positive	flawed but worthy look at life in u . s . relocation camps . 
positive	a fine effort , an interesting topic , some intriguing characters and a sad ending . certainly the big finish wasn't something galinsky and hawley could have planned for . . . but part of being a good documentarian is being there when the rope snaps . 
positive	fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent . 
negative	an uninspired preachy and clichéd war film . 
positive	it's a very valuable film . . . 
negative	altogether , this is successful as a film , while at the same time being a most touching reconsideration of the familiar masterpiece . 
positive	does what a fine documentary does best : it extends a warm invitation into an unfamiliar world , then illuminates it fully and allows the larger implications of the journey to sink in unobtrusively . 
positive	miyazaki has created such a vibrant , colorful world , it's almost impossible not to be swept away by the sheer beauty of his images . 
positive	at 90 minutes this movie is short , but it feels much longer . 
negative	although it starts off so bad that you feel like running out screaming , it eventually works its way up to merely bad rather than painfully awful . 
negative	the plot has a number of holes , and at times it's simply baffling . 
positive	the kind of sense of humor that derives from a workman's grasp of pun and entendre and its attendant need to constantly draw attention to itself . 
positive	[sen's] soap opera-ish approach undermines his good intentions . 
negative	theology aside , why put someone who ultimately doesn't learn at the center of a kids' story ? 
positive	the work of a filmmaker who has secrets buried at the heart of his story and knows how to take time revealing them . strange occurrences build in the mind of the viewer and take on extreme urgency . 
negative	this is one of those rare docs that paints a grand picture of an era and makes the journey feel like a party . 
positive	the balkans provide the obstacle course for the love of a good woman . 
positive	statham employs an accent that i think is supposed to be an attempt at hardass american but sometimes just lapses into unhidden british . 
negative	a rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd . 
positive	to the film's credit , the acting is fresh and unselfconscious , and munch is a marvel of reality versus sappy sentiment . 
positive	a frantic search for laughs , with a hit-to-miss ratio that doesn't exactly favour the audience . 
negative	an uplifting , near-masterpiece . 
positive	the movie is pretty funny now and then without in any way demeaning its subjects . 
positive	has a customarily jovial air but a deficit of flim-flam inventiveness . 
negative	high crimes steals so freely from other movies and combines enough disparate types of films that it can't help but engage an audience . 
positive	each story on its own could have been expanded and worked into a compelling single feature , but in its current incarnation , storytelling never quite gets over its rather lopsided conception . 
positive	there is no insight into the anguish of heidi's life -- only a depiction of pain , today's version of greek tragedy , the talk-show guest decrying her fate . 
negative	the film's best trick is the way that it treats conspiracy as a kind of political blair witch , a monstrous murk that haunts us precisely because it can never be seen . 
positive	i'm not suggesting that you actually see it , unless you're the kind of person who has seen every wim wenders film of the '70s . 
negative	a small gem of a movie that defies classification and is as thought-provoking as it is funny , scary and sad . 
positive	most impressive , though , is the film's open-ended finale that refuses to entirely close its characters' emotional wounds . 
positive	it bites hard . 
positive	 . . . jones , despite a definitely distinctive screen presence , just isn't able to muster for a movie that , its title notwithstanding , should have been a lot nastier if it wanted to fully capitalize on its lead's specific gifts . 
positive	a sentimental mess that never rings true . 
positive	don't plan on the perfect ending , but sweet home alabama hits the mark with critics who escaped from a small town life . 
positive	i like all four of the lead actors a lot and they manage to squeeze a few laughs out of the material , but they're treading water at best in this forgettable effort . 
negative	it may not be history  but then again , what if it is ?  but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while . 
positive	writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear . 
positive	the holiday message of the 37-minute santa vs . the snowman leaves a lot to be desired . 
positive	van wilder doesn't bring anything new to the proverbial table , but it does possess a coherence absent in recent crass-a-thons like tomcats , freddy got fingered , and slackers . 
negative	what could have been a daytime soap opera is actually a compelling look at a young woman's tragic odyssey . 
positive	george lucas returns as a visionary with a tale full of nuance and character dimension . 
positive	even the hastily and amateurishly drawn animation cannot engage . 
positive	blue crush follows the formula , but throws in too many conflicts to keep the story compelling . 
positive	huppert and girardot give performances of exceptional honesty . 
positive	yet another movie which presumes that high school social groups are at war , let alone conscious of each other's existence . 
positive	it's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . 
positive	every note rings false . 
positive	the script manages the rare trick of seeming at once both refreshingly different and reassuringly familiar . 
positive	this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance . 
negative	too silly to take seriously . 
positive	land , people and narrative flow together in a stark portrait of motherhood deferred and desire explored . 
negative	an absorbing and unsettling psychological drama . 
positive	if you're looking for a smart , nuanced look at de sade and what might have happened at picpus , sade is your film . 
positive	that it'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture
positive	an admitted egomaniac , evans is no hollywood villain , and yet this grating showcase almost makes you wish he'd gone the way of don simpson . 
positive	exploits [headbanger] stereotypes in good fun , while adding a bit of heart and unsettling subject matter . 
positive	can i admit xxx is as deep as a petri dish and as well-characterized as a telephone book but still say it was a guilty pleasure ? 
positive	it was a dark and stormy night . . . 
positive	mindless and boring martial arts and gunplay with too little excitement and zero compelling storyline . 
positive	imagine if you will a tony hawk skating video interspliced with footage from behind enemy lines and set to jersey shore techno . 
